web-scraper-order,web-scraper-start-url,link,link-href,prix,div,equip
"1679589397-1","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon81,200,000 DHApparemment 105 m2 haut fountyAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Haut-Founty","https://www.avito.ma/fr/hautfounty/appartements/Apparemment_105_m2_haut_founty_42456416.htm","1 200 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Haut-Founty""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""105""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Climatisation""},{""equip"":""Terrasse""},{""equip"":""Balcon""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Ascenseur""},{""equip"":""Meublé""},{""equip"":""Sécurité""},{""equip"":""Concierge""}]"
"1679589399-2","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8450,000 DHRésidence agdal 2 ème étageAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/R%C3%A9sidence_agdal_2_%C3%A8me_%C3%A9tage_43367012.htm","450 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""58""},{""div"":""Âge du bien""},{""div"":""21+ ans""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Concierge""},{""equip"":""Cuisine équipée""},{""equip"":""Meublé""},{""equip"":""Parking""},{""equip"":""Sécurité""}]"
"1679589401-3","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon6590,000 DHAppart quartier el houda à AgadirAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appart_quartier_el_houda_%C3%A0_Agadir_43604035.htm","590 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Frais de syndic / mois""},{""div"":""150""},{""div"":""Surface habitable""},{""div"":""50""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""4""}]","[{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Cuisine équipée""},{""equip"":""Concierge""},{""equip"":""Chauffage""},{""equip"":""Climatisation""},{""equip"":""Ascenseur""},{""equip"":""Meublé""}]"
"1679589403-4","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8720,000 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Cité Adrar","https://www.avito.ma/fr/cite_adrar/appartements/Appartement_en_Vente_%C3%A0_Agadir_44464925.htm","720 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Cité Adrar""},{""div"":""Surface habitable""},{""div"":""60""},{""div"":""Âge du bien""},{""div"":""1-5 ans""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Concierge""},{""equip"":""Ascenseur""},{""equip"":""Parking""},{""equip"":""Cuisine équipée""},{""equip"":""Sécurité""},{""equip"":""Duplex""},{""equip"":""Meublé""}]"
"1679589406-5","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=39&price_min=0","Camera Icon8500,000 DHmoyen standing AppartementsTimeFill Iconil y a 2 ansMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/moyen_standing__44949129.htm","500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Salons""},{""div"":""1""},{""div"":""Surface habitable""},{""div"":""65""},{""div"":""Étage""},{""div"":""2""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Balcon""},{""equip"":""Terrasse""},{""equip"":""Concierge""},{""equip"":""Parking""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Chauffage""}]"
"1679589410-6","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon8300,000 DHjoli Appartement  prix accessibleAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Tilila","https://www.avito.ma/fr/tilila/appartements/joli_Appartement__prix_accessible_45252614.htm","300 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Tilila""},{""div"":""Surface habitable""},{""div"":""51""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""50""},{""div"":""Âge du bien""},{""div"":""6-10 ans""}]","[{""equip"":""Cuisine équipée""},{""equip"":""Sécurité""},{""equip"":""Concierge""},{""equip"":""Parking""}]"
"1679589414-7","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon4600,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Salam","https://www.avito.ma/fr/hay_salam/appartements/Appartement_45497626.htm","600 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Salam""},{""div"":""Surface habitable""},{""div"":""77""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Étage""},{""div"":""4""},{""div"":""Salons""},{""div"":""1""},{""div"":""Frais de syndic / mois""},{""div"":""100""}]","[]"
"1679589417-8","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon5450 DHAppartement en Vente à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_en_Vente_%C3%A0_Agadir_45524746.htm","450 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""6-10 ans""},{""div"":""Salons""},{""div"":""1""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""64""}]","[{""equip"":""Balcon""},{""equip"":""Ascenseur""},{""equip"":""Parking""},{""equip"":""Sécurité""},{""equip"":""Concierge""},{""equip"":""Meublé""},{""equip"":""Climatisation""}]"
"1679589419-9","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon11,500,000 DHappt a vendre AppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Av des Far","https://www.avito.ma/fr/av_des_far/appartements/appt_a_vendre__45718962.htm","1 500 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Av des Far""},{""div"":""Salons""},{""div"":""2""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Étage""},{""div"":""5""},{""div"":""Frais de syndic / mois""},{""div"":""200""}]","[{""equip"":""Terrasse""},{""equip"":""Concierge""},{""equip"":""Climatisation""},{""equip"":""Sécurité""},{""equip"":""Ascenseur""},{""equip"":""Balcon""}]"
"1679589421-10","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon7490,000 DHAppartement à AgadirAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Hay Mohammadi","https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_Agadir_46077870.htm","490 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Hay Mohammadi""},{""div"":""Âge du bien""},{""div"":""Neuf""},{""div"":""Étage""},{""div"":""3""},{""div"":""Surface habitable""},{""div"":""54""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Ascenseur""},{""equip"":""Cuisine équipée""},{""equip"":""Parking""}]"
"1679589424-11","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon5230,000 DHشقةAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, Le centre-ville","https://www.avito.ma/fr/le_centreville/appartements/%D8%B4%D9%82%D8%A9_46170592.htm","230 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""Le centre-ville""},{""div"":""Étage""},{""div"":""2""},{""div"":""Salons""},{""div"":""1""}]","[]"
"1679589426-12","https://www.avito.ma/fr/agadir/appartements-%C3%A0_vendre?o=38&price_min=0","Camera Icon1400,000 DHAppartementAppartementsTimeFill Iconil y a 1 anMapPinFill IconAgadir, El Houda","https://www.avito.ma/fr/el_houda/appartements/Appartement_46196988.htm","400 000 DH","[{""div"":""Type""},{""div"":""Appartements, à vendre""},{""div"":""Secteur""},{""div"":""El Houda""},{""div"":""Frais de syndic / mois""},{""div"":""100""},{""div"":""Étage""},{""div"":""2""},{""div"":""Surface habitable""},{""div"":""50""},{""div"":""Âge du bien""},{""div"":""11-20 ans""},{""div"":""Salons""},{""div"":""1""}]","[{""equip"":""Sécurité""},{""equip"":""Balcon""},{""equip"":""Terrasse""}]"
